YvsX/0,2300/0,6500/-0,2600/0,6500/0,3100/0,3000/-0,0350/0,6952/0,0418/0,7084/-0,0332/-0,0398/8,8928/-8,8458/-20,0219
YvsY/0,0500/0,2400/-0,3400/0,1200/0,2100/-0,2900/-0,0299/0,2391/0,1021/0,0116/0,2513/0,0585/9,4513/1,1376/-2,3136
YvsY/0,0500/0,2400/-0,3400/0,1800/0,4400/-0,3000/-0,0299/0,2391/0,1021/-0,0134/0,4844/0,0038/12,9581/1,3367/-5,9344
YvsY/0,0500/0,2400/-0,3400/0,2800/0,6200/-0,3000/-0,0299/0,2391/0,1021/0,0178/0,6848/-0,0558/14,4752/0,0459/-10,4910
YvsY/0,1200/0,4700/-0,3100/0,1200/0,2100/-0,3200/-0,0711/0,4769/0,0971/0,0112/0,2505/0,0270/13,0732/2,0893/-5,7959
YvsY/0,1200/0,4700/-0,3100/0,1700/0,4400/-0,3000/-0,0711/0,4769/0,0971/-0,0229/0,4810/0,0076/16,6217/2,6447/-9,2348
YvsY/0,1200/0,4700/-0,3100/0,2900/0,6100/-0,3300/-0,0711/0,4769/0,0971/0,0303/0,6783/-0,0873/18,0112/0,5467/-13,8242
YvsY/0,2100/0,6500/-0,2400/0,0900/0,2200/-0,3100/-0,0739/0,6777/0,1092/-0,0201/0,2492/0,0367/14,4825/3,1250/-10,5512
YvsY/0,2100/0,6500/-0,2400/0,1900/0,4300/-0,3300/-0,0739/0,6777/0,1092/-0,0011/0,4781/-0,0241/18,0722/2,3431/-13,8399
YvsY/0,2100/0,6500/-0,2400/0,2800/0,6200/-0,3100/-0,0739/0,6777/0,1092/0,0178/0,6844/-0,0687/19,5014/1,3581/-18,7203
